RM1912000.031272
Normal   20/01/2019 00:02:11 20/01/2019 00:03:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6
0001201 0020 0001201 0000 07
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2
1 0 1 01200 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.1785,231.0000,5.2024,222.0000,5.0930,0.0000,139.0400
5.1720,231.0000,5.1936,235.0000,5.0939,0.0000,130.4000
5.1735,244.0000,5.1843,226.0000,5.0931,0.0000,135.5200
5.1714,235.0000,5.1889,198.0000,5.0921,0.0000,135.2000
5.1590,232.0000,5.1866,208.0000,5.0938,0.0000,133.1200
5.1656,201.0000,5.1871,219.0000,5.0937,0.0000,129.9200
5.1601,202.0000,5.1840,211.0000,5.0936,0.0000,131.3600
5.1459,168.0000,5.1824,185.0000,5.0947,0.0000,133.1200
5.1514,184.0000,5.1811,190.0000,5.0927,0.0000,132.1600
5.1561,186.0000,5.1804,186.0000,5.0932,0.0000,131.6800
5.1544,159.0000,5.1842,179.0000,5.0928,0.0000,129.6000
5.1574,165.0000,5.1839,195.0000,5.0930,0.0000,129.2800
5.1583,167.0000,5.1757,188.0000,5.0932,0.0000,131.0400
5.1536,148.0000,5.1805,184.0000,5.0934,0.0000,133.7600
5.1448,154.0000,5.1824,157.0000,5.0936,0.0000,137.2800
5.1436,168.0000,5.1747,167.0000,5.0932,0.0000,133.1200
5.1305,142.0000,5.1704,172.0000,5.0931,0.0000,138.8800
5.1348,144.0000,5.1733,160.0000,5.0930,0.0000,128.1600
5.1343,142.0000,5.1781,168.0000,5.0927,0.0000,127.8400
5.1299,149.0000,5.1720,187.0000,5.0920,0.0000,132.6400
5.1315,133.0000,5.1727,150.0000,5.0932,0.0000,139.5200
5.1277,135.0000,5.1778,139.0000,5.0933,0.0000,136.0000
5.1264,143.0000,5.1734,151.0000,5.0933,0.0000,135.0400
5.1343,132.0000,5.1672,150.0000,5.0935,0.0000,135.2000
5.1311,117.0000,5.1679,148.0000,5.0934,0.0000,137.7600
5.1210,108.0000,5.1664,146.0000,5.0932,0.0000,131.3600
5.1274,130.0000,5.1690,149.0000,5.0923,0.0000,128.3200
5.1282,106.0000,5.1703,134.0000,5.0927,0.0000,134.5600
5.1225,88.0000,5.1710,122.0000,5.0928,0.0000,125.4400
5.1175,92.0000,5.1635,114.0000,5.0934,0.0000,130.7200
5.1245,106.0000,5.1592,131.0000,5.0933,0.0000,129.2800
5.1220,105.0000,5.1660,116.0000,5.0918,0.0000,126.5600
5.1160,94.0000,5.1655,132.0000,5.0938,0.0000,131.8400
5.1154,87.0000,5.1588,116.0000,5.0936,0.0000,127.0400
5.1136,93.0000,5.1630,112.0000,5.0935,0.0000,130.2400
5.1183,91.0000,5.1612,120.0000,5.0934,0.0000,135.3600
5.1095,68.0000,5.1586,101.0000,5.0928,0.0000,133.6000
5.1061,84.0000,5.1554,97.0000,5.0933,0.0000,139.5200
5.1075,91.0000,5.1588,110.0000,5.0951,0.0000,135.3600
5.1116,87.0000,5.1615,103.0000,5.0930,0.0000,135.0400
5.1112,82.0000,5.1568,96.0000,5.0926,0.0000,128.6400
5.1041,72.0000,5.1568,107.0000,5.0937,0.0000,132.9600
5.1067,78.0000,5.1550,91.0000,5.0926,0.0000,134.2400
5.1078,74.0000,5.1564,106.0000,5.0934,0.0000,137.4400
5.1070,67.0000,5.1561,89.0000,5.0929,0.0000,129.1200
5.1021,80.0000,5.1515,97.0000,5.0916,0.0000,132.1600
5.1046,80.0000,5.1509,99.0000,5.0928,0.0000,138.5600
5.1059,71.0000,5.1532,89.0000,5.0923,0.0000,133.7600
